type_chaussures;prix;adresse;image_lien
Baskets Louis Vuitton;30 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5552643_uploaded_image1_1759323436.jpg
Baskets Adidas;20 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5686382_uploaded_image1_1766491684.jpg
Chaussures pour homme;10 000 CFA;Medina, Dakar, Sénégal;https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
Baskets Lacoste trainer L003;30 000 CFA;Dakar, Sénégal;
Baskets Dior B22;30 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5481393_uploaded_image1_1755545600.jpg
Baskets Lacoste Trainer L003;30 000 CFA;Dakar, Sénégal;
Baskets Timberland;20 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5384805_uploaded_image1_1750461330.jpg
Chaussures Crocs;9 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_1875362_uploaded_image1_1585680864.08.png
Chaussures Crocs;9 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_1875362_uploaded_image1_1585680864.08.png
Chaussures homme;30 000 CFA;Ouest Foire, Dakar, Sénégal;https://images.coinafrique.com/thumb_5403613_uploaded_image1_1751513745.jpg
Baskets Air Jordan 6;25 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_2154407_uploaded_image1_1590109436.jpg
Baskets Nike TN;18 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5550746_uploaded_image1_1759249989.jpg
Sandales homme;Prix sur demande;Dakar, Sénégal;https://images.coinafrique.com/thumb_5465465_uploaded_image1_1754649693.jpg
Baskets Nike TN;23 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5550746_uploaded_image1_1759249989.jpg
Chaussures homme;5 000 CFA;Keur Massar, Sénégal;https://images.coinafrique.com/thumb_5581477_uploaded_image1_1760896170.jpg
Crocs sandales orthopédiques;5 500 CFA;Sicap Liberté, Dakar, Sénégal;
Baskets Adidas;15 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5686382_uploaded_image1_1766491684.jpg
Baskets Jordan 4;25 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5548928_uploaded_image1_1759168475.jpg
Baskets  Jordan 14;28 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_3609837_uploaded_image1_1647357351.jpg
Baskets Vans Knu School;25 000 CFA;Dakar, Sénégal;
Chaussures Noctar Noir;20 000 CFA;Dakar Plateau, Dakar, Sénégal;
Peugeot 308 2019;4 500 000 CFA;Mermoz-Sacré Coeur, Dakar, Sénégal;
Baskets Nike Victory One;12 000 CFA;Yoff, Dakar, Sénégal;
Chaussures homme;30 000 CFA;Dieuppeul-Derklé, Dakar, Sénégal;https://images.coinafrique.com/thumb_5465868_uploaded_image1_1754663616.jpg
Chaussures homme;20 000 CFA;Grand Yoff, Dakar, Sénégal;https://images.coinafrique.com/thumb_5430950_uploaded_image1_1752936591.jpg
Chaussures  homme;14 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5771511_uploaded_image1_1770903306.jpg
Mocassins homme;25 000 CFA;Ouest Foire, Dakar, Sénégal;https://images.coinafrique.com/thumb_4166328_uploaded_image1_1680812137.jpg
Chaussures homme;13 500 CFA;Diamalaye 1, Dakar, Sénégal;https://images.coinafrique.com/thumb_5756505_uploaded_image1_1770135001.jpg
Chaussures homme;15 000 CFA;Diamalaye 1, Dakar, Sénégal;https://images.coinafrique.com/thumb_5756505_uploaded_image1_1770135001.jpg
Sandales orthopédiques;15 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_5327825_uploaded_image1_1747239241.jpg
Chaussures homme;10 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_5716365_uploaded_image1_1768211528.jpg
Chaussures Berlutti;15 000 CFA;Diamalaye 1, Dakar, Sénégal;https://images.coinafrique.com/thumb_5504924_uploaded_image1_1756823656.jpg
Sneakers Jordan One;35 000 CFA;Grand Dakar, Dakar, Sénégal;
Chaussures Sebago;11 000 CFA;Diamalaye 1, Dakar, Sénégal;https://images.coinafrique.com/thumb_3468334_uploaded_image1_1638624334.jpg
Sandales orthopédiques;12 000 CFA;Sacré-Coeur, Dakar, Sénégal;https://images.coinafrique.com/thumb_5403273_uploaded_image1_1751493058.jpg
Mocassins homme;5 500 CFA;Yoff, Dakar, Sénégal;https://images.coinafrique.com/thumb_4182260_uploaded_image2_1681852134.jpeg
Chaussures homme;Prix sur demande;Dakar, Sénégal;https://images.coinafrique.com/thumb_5771511_uploaded_image1_1770903306.jpg
Baskets New Balance 9060;25 000 CFA;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_5061556_uploaded_image1_1732571856.jpg
Chaussures Air Force;12 000 CFA;Ouakam, Dakar, Sénégal;https://images.coinafrique.com/thumb_5449964_uploaded_image1_1753891204.jpg
Chaussures homme;12 000 CFA;Ouakam, Dakar, Sénégal;https://images.coinafrique.com/thumb_5449980_uploaded_image1_1753891681.jpg
