web_scraper_order,web_scraper_start_url,container_link,type_habits,prix,adresse,image_lien
"1771103820-23","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/box-homme-5216645","Box homme","10 000 CFA","Ouest Foire, Dakar, Sénégal","https://images.coinafrique.com/thumb_5216645_uploaded_image1_1741207257.jpg"
"1771103822-24","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-jogging-5219558","Ensemble jogging","15 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5219558_uploaded_image1_1741347843.jpg"
"1771103825-25","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/chaussures-homme-5179614","Chaussures homme","20 000 CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_5179614_uploaded_image1_1739215765.jpg"
"1771103827-26","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/dialabe-homme-5181202","Dialabé  homme","10 000 CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_5226125_uploaded_image1_1741685568.jpg"
"1771103829-27","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/costume-pour-homme-5225513","Costume pour homme","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5655663_uploaded_image1_1764851829.jpg"
"1771103855-28","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/djalabe-5225528","Djalabé","10 000 CFA","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_5225528_uploaded_image1_1741651639.jpg"
"1771103886-29","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/jalabe-homme-5226397","Jalabé  homme","20 000 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5226397_uploaded_image1_1741693787.jpg"
"1771103894-30","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-kaki-5226464","Pantalon Kaki","12 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5758901_uploaded_image1_1770244788.jpg"
"1771103896-31","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/diokin-pour-homme-5182298","Diokîn pour homme","27 000 CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_5182298_uploaded_image1_1739364640.jpg"
"1771103899-32","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/costume-africain-5228489","Costume africain","45 000 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5565386_uploaded_image1_1759971775.jpg"
