web_scraper_order,web_scraper_start_url,container_link,type_habits,prix,adresse,image_lien
"1771104083-91","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/chemise-homme-5277900","Chemise homme","6 500 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5715576_uploaded_image1_1768156314.jpg"
"1771104086-92","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/jogging-homme-5277911","Jogging homme","7 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5277911_uploaded_image1_1744407032.jpg"
"1771104089-93","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/chemise-homme-5277908","Chemise homme","6 500 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5715576_uploaded_image1_1768156314.jpg"
"1771104091-94","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/lacoste-homme-5277897","Lacoste homme","6 500 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5422133_uploaded_image1_1752479744.jpg"
"1771104094-95","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5322231","Ensemble homme","7 500 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5739042_uploaded_image1_1769255793.jpg"
"1771104096-96","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5322236","Ensemble homme","7 500 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5739042_uploaded_image1_1769255793.jpg"
"1771104099-97","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-grand-boubou-3-pieces-5323007","Ensemble grand boubou 3 pièces","30 000 CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_5323007_uploaded_image1_1747004223.jpg"
"1771104101-98","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-3-pieces-5323878","Ensemble 3 pièces","30 000 CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_5323878_uploaded_image1_1747055928.jpg"
"1771104104-99","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-jean-homme-5325030","Pantalon Jean  homme","20 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5325030_uploaded_image1_1747102473.jpg"
"1771104106-100","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/culotte-cuissar-5280464","Culotte cuissar","3 000 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5280464_uploaded_image1_1744591038.jpg"
"1771104109-101","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5280460","Ensemble homme","5 000 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5640578_uploaded_image1_1764085646.jpg"
"1771104111-102","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/shorts-5280463","Shorts","3 000 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5374534_uploaded_image1_1749919474.jpg"
"1771104113-103","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-kaki-5283137","Pantalon Kaki","7 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5525299_uploaded_image1_1757874845.jpg"
"1771104116-104","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-kaki-5283174","Pantalon Kaki","7 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5525299_uploaded_image1_1757874845.jpg"
"1771104118-105","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-5283173","Ensemble","6 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5713973_uploaded_image1_1768048230.jpg"
"1771104121-106","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/jogging-5283169","Jogging","7 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5299462_uploaded_image1_1745669058.jpg"
"1771104123-107","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5283165","Ensemble homme","8 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5713973_uploaded_image1_1768048230.jpg"
"1771104126-108","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/polo-lacoste-coton-5283163","Polo Lacoste coton","6 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5293055_uploaded_image1_1745339693.jpg"
"1771104129-109","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-5283158","Ensemble","12 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5713973_uploaded_image1_1768048230.jpg"
"1771104132-110","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/chemise-homme-5283180","Chemise  homme","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5715576_uploaded_image1_1768156314.jpg"
"1771104134-111","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-pantalon-5329465","Ensemble pantalon","15 000 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5329465_uploaded_image1_1747315368.jpg"
"1771104137-112","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/grand-boubou-homme-5331306","Grand boubou homme","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5663290_uploaded_image1_1765273622.jpg"
"1771104139-113","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5332144","Ensemble homme","12 000 CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_5749883_uploaded_image1_1769781404.jpg"
"1771104142-114","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/lacoste-coton-unique-5287008","Lacoste coton unique","5 000 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5287008_uploaded_image1_1744926363.jpg"
"1771104144-115","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/shorts-cotton-100-5287002","Shorts cotton 100℅","3 500 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5287002_uploaded_image1_1744926217.jpg"
"1771104147-116","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/short-cotton-5287071","Short cotton","7 000 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5374534_uploaded_image1_1749919474.jpg"
"1771104149-117","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-coton-100-5287998","Ensemble coton 100℅","Prix sur demande","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5287998_uploaded_image1_1744981046.jpg"
"1771104152-118","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-homme-5287996","Pantalon homme","Prix sur demande","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5743341_uploaded_image1_1769469453.jpg"
"1771104155-119","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/polo-lacoste-5288624","Polo Lacoste","6 500 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5326067_uploaded_image1_1747152167.jpg"
"1771104157-120","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/chemise-coton-5288621","Chemise coton","7 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5595880_uploaded_image1_1761763593.jpg"
"1771104159-121","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/chemise-coton-5288620","Chemise coton","7 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5595880_uploaded_image1_1761763593.jpg"
"1771104162-122","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5288627","Ensemble homme","13 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5713973_uploaded_image1_1768048230.jpg"
"1771104164-123","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5288640","Ensemble homme","13 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5713973_uploaded_image1_1768048230.jpg"
"1771104167-124","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5288642","Ensemble homme","13 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5713973_uploaded_image1_1768048230.jpg"
"1771104169-125","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/sorts-cotton-5289183","Sorts  Cotton","6 500 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5374540_uploaded_image1_1749919718.jpg"
"1771104172-126","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/sorts-cotton-5289180","Sorts Cotton","6 500 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5374540_uploaded_image1_1749919718.jpg"
"1771104174-127","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/sorts-cotton-5289186","Sorts Cotton","6 500 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5374540_uploaded_image1_1749919718.jpg"
"1771104387-128","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/cargo-5290653","Cargo","7 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5498127_uploaded_image1_1756460300.jpg"
"1771104389-129","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5291974","Ensemble homme","13 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5713973_uploaded_image1_1768048230.jpg"
"1771104393-130","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/survetement-5338228","Survêtement","Prix sur demande","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5338228_uploaded_image1_1747821974.jpg"
"1771104397-131","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/polo-lacoste-5293034","Polo Lacoste","6 500 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5326067_uploaded_image1_1747152167.jpg"
"1771104400-132","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/t-shirt-coton-5293035","T-shirt coton","6 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5595880_uploaded_image1_1761763593.jpg"
"1771104402-133","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/polo-lacoste-coton-5293039","Polo Lacoste coton","6 500 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5293055_uploaded_image1_1745339693.jpg"
"1771104405-134","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5293053","Ensemble homme","13 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5713973_uploaded_image1_1768048230.jpg"
"1771104407-135","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/polo-lacoste-coton-5293055","Polo Lacoste coton","6 500 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5293055_uploaded_image1_1745339693.jpg"
"1771104410-136","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5293045","Ensemble homme","13 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5713973_uploaded_image1_1768048230.jpg"
"1771104412-137","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/t-shirt-coton-5293536","T-shirt coton","6 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5595880_uploaded_image1_1761763593.jpg"
"1771104415-138","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/lacoste-homme-5293539","Lacoste homme","6 500 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5422133_uploaded_image1_1752479744.jpg"
"1771104417-139","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-kaki-5296688","Pantalon Kaki","7 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5525299_uploaded_image1_1757874845.jpg"
"1771104419-140","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/jean-homme-5296693","Jean homme","7 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5330130_uploaded_image1_1747337463.jpg"
"1771104425-141","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5296703","Ensemble homme","13 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5713973_uploaded_image1_1768048230.jpg"
"1771104430-142","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/lacoste-polo-5296710","Lacoste Polo","6 500 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5326067_uploaded_image1_1747152167.jpg"
"1771104432-143","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5296721","Ensemble homme","13 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5713973_uploaded_image1_1768048230.jpg"
"1771104435-144","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/t-shirt-5343507","T-shirt","5 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5748678_uploaded_image1_1769718508.jpg"
"1771104437-145","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/bassin-riche-gold-5299451","Bassin  riche  gold","6 500 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5299451_uploaded_image1_1745668861.jpg"
"1771104440-146","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/tissu-original-5299471","Tissu original","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5299471_uploaded_image1_1745669398.jpg"
"1771104443-147","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/lacoste-coton-5299472","Lacoste  Coton","6 500 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5422133_uploaded_image1_1752479744.jpg"
"1771104445-148","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/jogging-5299462","Jogging","7 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5299462_uploaded_image1_1745669058.jpg"
"1771104448-149","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/getzner-gold-5299464","Getzner  Gold","12 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5329829_uploaded_image1_1747328462.jpg"
"1771104450-150","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/getzner-gold-5299457","Getzner  Gold","12 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5329829_uploaded_image1_1747328462.jpg"
"1771104452-151","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/kaki-original-5299455","Kaki original","7 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5330135_uploaded_image1_1747337609.jpg"
"1771104455-152","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-coton-5299466","Ensemble  Coton","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5671485_uploaded_image1_1765666732.jpg"
"1771104457-153","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-5299478","Ensemble","13 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5713973_uploaded_image1_1768048230.jpg"
"1771104460-154","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/costume-africain-5348515","Costume africain","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5565386_uploaded_image1_1759971775.jpg"
"1771104462-155","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5302306","Ensemble homme","10 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5713973_uploaded_image1_1768048230.jpg"
"1771104465-156","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/vetements-pour-homme-5348766","Vêtements pour homme","7 000 CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_3650018_uploaded_image1_1649757791.jpg"
"1771104467-157","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/vetements-pour-homme-5348767","Vêtements pour homme","7 000 CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_3650018_uploaded_image1_1649757791.jpg"
"1771104470-158","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/vetements-pour-homme-5348768","Vêtements pour homme","7 000 CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_3650018_uploaded_image1_1649757791.jpg"
"1771104472-159","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/t-shirt-homme-5348769","T-shirt homme","7 000 CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_5348769_uploaded_image1_1748394151.jpg"
"1771104474-160","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/jogging-nike-5350993","Jogging Nike","9 000 CFA","Mariste, Dakar, Sénégal","https://images.coinafrique.com/thumb_5350993_uploaded_image1_1748526930.jpg"
"1771104477-161","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/debardeur-en-coton-5305181","Débardeur en coton","3 500 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5305181_uploaded_image1_1746024944.jpg"
"1771104479-162","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/lot-de-6-tshirts-5308578","Lot de 6 tshirts","11 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5308578_uploaded_image1_1746204180.jpg"
"1771104482-163","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5305840","Ensemble homme","13 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5713973_uploaded_image1_1768048230.jpg"
"1771104484-164","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5305848","Ensemble homme","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5713973_uploaded_image1_1768048230.jpg"
"1771104487-165","https://sn.coinafrique.com/categorie/vetements-homme?page=6","https://sn.coinafrique.com/annonce/vetements-homme/chemise-5305845","Chemise","6 500 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5715576_uploaded_image1_1768156314.jpg"
"1771104492-166","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-homme-5305847","Pantalon homme","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5525299_uploaded_image1_1757874845.jpg"
"1771104494-167","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/paquet-tshirt-cotton-100-5306801","Paquet Tshirt cotton 100℅","7 500 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5306801_uploaded_image1_1746115281.jpg"
"1771104496-168","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/lacoste-homme-5310613","Lacoste homme","6 500 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5422133_uploaded_image1_1752479744.jpg"
"1771104499-169","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5313236","Ensemble homme","13 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5713973_uploaded_image1_1768048230.jpg"
"1771104501-170","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5313321","Ensemble homme","13 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5713973_uploaded_image1_1768048230.jpg"
"1771104504-171","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/lacoste-homme-5313316","Lacoste homme","6 500 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5422133_uploaded_image1_1752479744.jpg"
"1771104506-172","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/tenue-africaine-5360278","Tenue Africaine","40 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5699731_uploaded_image1_1767365215.jpg"
"1771104509-173","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/jean-homme-5314908","Jean homme","7 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5330130_uploaded_image1_1747337463.jpg"
"1771104511-174","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5314912","Ensemble homme","13 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5713973_uploaded_image1_1768048230.jpg"
"1771104514-175","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/lacoste-coton-5314904","Lacoste coton","6 500 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5422133_uploaded_image1_1752479744.jpg"
"1771104516-176","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/lacoste-homme-5314919","Lacoste homme","6 500 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5422133_uploaded_image1_1752479744.jpg"
"1771104518-177","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/bassin-riche-5314920","Bassin riche","5 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5334146_uploaded_image1_1747583668.jpg"
"1771104521-178","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/chemise-homme-5346211","Chemise homme","25 000 CFA","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_5346211_uploaded_image1_1748266571.jpg"
"1771104523-179","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/chemise-5346271","Chemise","25 000 CFA","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_5346271_uploaded_image1_1748268399.jpg"
"1771104526-180","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5318670","Ensemble homme","15 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5713973_uploaded_image1_1768048230.jpg"
"1771104529-181","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5318674","Ensemble homme","13 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5713973_uploaded_image1_1768048230.jpg"
"1771104531-182","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/kaki-5320629","Kaki","7 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5525299_uploaded_image1_1757874845.jpg"
"1771104534-183","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/t-shirt-coton-5320652","T-shirt coton","5 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5595880_uploaded_image1_1761763593.jpg"
"1771104536-184","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/lacoste-homme-5320644","Lacoste homme","6 500 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5422133_uploaded_image1_1752479744.jpg"
"1771104539-185","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/vetement-homme-5364974","Vêtement  homme","5 000 CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_3650018_uploaded_image1_1649757791.jpg"
"1771104541-186","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5364994","Ensemble homme","9 500 CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_5364994_uploaded_image1_1749376854.jpg"
